type,county,official_business_name,name,address,city,state,zip,lat,lng
Farm Brewer,Suffolk,Bellport Brewing Company Inc,Bellport Brewing Company ,156 Hallock Landing Rd,Rocky Point,NY,11778,40.9605,-72.93929
Farm Brewer,Suffolk,Jamesport Farm Brewery Llc,Jamesport Farm Brewery ,5873 Sound Ave,Riverhead,NY,11901,40.97999,-72.59942
Farm Brewer,Suffolk,F&R Brewing Systems Inc,Patchogue Beer Project,76 W Main St,Patchogue,NY,11772,40.76558,-73.01702
Farm Brewer,Onondaga,Tim'S Pumpkin Patch Llc,Tim'S Pumpkin Patch ,2901 Rose Hill Rd,Marietta,NY,13110,42.911840000000005,-76.34496999999999
Farm Brewer,Monroe,Whichcraft Brews Llc,Whichcraft Brews ,1900 Empire Blvd,Webster,NY,14580,43.191159999999996,-77.50199
Farm Brewer,Rensselaer,Emporium Farm Brewery Ltd,Emporium Farm Brewery ,472 N Greenbush Rd,Rensselaer,NY,12144,42.659909999999996,-73.6928
Farm Brewer,Queens,Qb Collective Llc,Queens Brewery,15-39 Covert St,Ridgewood,NY,11385,40.69455,-73.9043
Farm Brewer,Onondaga,Seneca Street Enterprises Llc,Seneca Street Brew Pub,315 E Seneca St,Manlius,NY,13104,43.00225,-75.9759
Farm Brewer,Dutchess,Hudson Valley Beverage Co Inc,Sloop Brewing Co,2070 Rte 52,Hopewell Junction,NY,12533,41.543440000000004,-73.82359
Farm Brewer,Herkimer,Fulton Chain Craft Brewery Llc,Fulton Chain Craft Brewery ,127 North St,Old Forge,NY,13420,43.71485,-74.9703
Farm Brewer,Onondaga,Local 315 Brewing Company Llc,Local 315 Brewing Company ,3160 Warners Road,Warners,NY,13164,43.08017,-76.28706
Farm Brewer,Westchester,Broken Bow Brewery Llc,Broken Bow Brewery,173 Marbledale Rd,Tuckahoe,NY,10707,40.955090000000006,-73.81903
Farm Brewer,Rockland,Threefold Holdings Llc,Threes Brewing,55 W Railroad Ave,Garnerville,NY,10923,41.208,-73.99166
Farm Brewer,Delaware,Muddy River Hops Llc,Muddy River Farm Brewery,15544 County Hwy 23,Unadilla,NY,13849,42.313,-75.34155
Farm Brewer,Albany,"Real Mccoy Llc, The",The Real Mccoy Beer Co,20 Hallwood Rd,Delmar,NY,12054,42.62341,-73.8318
Farm Brewer,Ontario,Twisted Rail Brewing Company Llc,Twisted Rail Brewing Company ,169 Lakeshore Dr,Canandaigua,NY,14424,42.874990000000004,-77.2621
Farm Brewer,Washington,Slate Town Brewing Company Llc,Slate Town Brewing Company ,31 Main St,Granville,NY,12832,43.408390000000004,-73.25636
Farm Brewer,Ontario,Reinvention Brewing Llc,Reinvention Brewing Company,9 N Main St,Manchester,NY,14504,42.969840000000005,-77.23045
Farm Brewer,Tompkins,Salt Point Brewing Company Llc,Salt Point Brewing Company ,2075 E Shore Dr,Lansing,NY,14882,42.5375,-76.50586
Farm Brewer,Saratoga,Oliva Vineyards Llc,Racing City Brewing Company,250 Excelsior Ave,Saratoga Springs,NY,12866,43.09323,-73.75738
Farm Brewer,Suffolk,Small Craft Brewery Llc,Small Craft Brewing Company,66 Merrick Rd,Amityville,NY,11701,40.7041,-73.79275
Farm Brewer,Monroe,Fifth Frame Brewing Co Llc,Fifth Frame Brewing Co ,138 Joseph Ave,Rochester,NY,14605,43.165859999999995,-77.60614
Farm Brewer,Essex,Big Slide Brewery & Public House Llc,Big Slide Brewery & Public House ,5686 Cascade Rd,Lake Placid,NY,12946,44.26608,-73.97001999999999
Farm Brewer,Queens,Narwhal Llc,Finback,76-01 77Th Ave,Glendale,NY,11385,0.0,0.0
Farm Brewer,Chemung,Db Brewing Llc,Diversion Brewing Company,729 Wyncoop Creek Rd,Chemung,NY,14825,42.017759999999996,-76.62234000000001
Farm Brewer,Orange,Glenmere Brewing Company Inc,Glenmere Brewing Company,55 Maple Ave,Florida,NY,10921,41.335409999999996,-74.36033
Farm Brewer,Onondaga,Half In The Bag Brewery Llc,Willow Rock Brewing Company,115 Game Rd,Syracuse,NY,13210,43.01235,-76.13161
Farm Brewer,Columbia,Freight Yard Brewing Llc,Freight Yard Brewing ,59 Main St,Chatham,NY,12037,42.36305,-73.59557
Farm Brewer,Westchester,Sing Sing Kill Brewery Llc,Sing Sing Kill Brewery ,75-77 Spring St,Ossining,NY,10562,0.0,0.0
Farm Brewer,Suffolk,North Fork Brewing Company Llc,North Fork Brewing Company ,24 E 2Nd St,Riverhead,NY,11901,40.91923,-72.66206
Farm Brewer,Westchester,Diner Brew Company Inc,Diner Brew Company ,2 Cortlandt St,Mount Vernon,NY,10550,40.71,-74.0102
Farm Brewer,Albany,Helderberg Brewery Inc,The Carriage House Restaurant,85 Stonecrop Rd,Rensselaerville,NY,12147,42.52348,-74.14605999999999
Farm Brewer,Suffolk,Eastern Front Brewing Llc,Eastern Front Brewing ,425 Westphalia Rd,Mattituck,NY,11952,40.99147,-72.53702
Farm Brewer,Westchester,Wolf & Warrior Brewing Company Llc,Wolf & Warrior Brewing Company ,195A E Post Rd,White Plains,NY,10601,41.02988,-73.76377
Farm Brewer,Monroe,Lock 32 Brewing Company Llc,Seven Story Brewing,604 Pittsford Victor Rd,Pittsford,NY,14534,43.06227,-77.47962
Farm Brewer,Richmond,Gordon James Llc,The Flagship Brewing Company,38-40 Minthorne St,Staten Island,NY,10301,40.63715,-74.07552
Farm Brewer,Cayuga,"Shepherds Brewing Company Llc, The",The Good Shepherds Brewing Company,132 Genesee St,Auburn,NY,13021,42.93051,-76.56813000000001
Farm Brewer,Suffolk,"Cow Harbor Beer Company Llc, The",Sand City Brewing Company,19 Scudder Ave,Northport,NY,11768,40.89975,-73.35081
Farm Brewer,Madison,Good Nature Brewing Inc,Good Nature Farm Brewery & Tap Room,1727 State Rte 12B,Hamilton,NY,13346,42.80662,-75.54697
Farm Brewer,Nassau,Flying Belgian Llc,Flying Belgian ,3350A Lawson Blvd,Oceanside,NY,11572,40.62964,-73.65294
Farm Brewer,Washington,Battle Hill Brewing Company Llc,Battle Hill Brewing,4C Charles St,Fort Ann,NY,12827,43.41659,-73.48751
Farm Brewer,Dutchess,Cousins Revolution Ale Works Inc,Cousins Revolution Ale Works,1582 Rte 9,Wappingers Falls,NY,12590,41.5974,-73.91051999999999
Farm Brewer,Onondaga,Sahm Brewing Company Llc,Sahm Brewing Company ,203 S Salina St,Syracuse,NY,13202,43.04954,-76.15213
Farm Brewer,Seneca,Fleur De Lis Brew Works Llc,Fleur De Lis Brew Works ,3630 State Rte 414,Seneca Falls,NY,13148,42.84887,-76.80790999999999
Farm Brewer,Kings,5 Boroughs Brewery Inc,Five Boroughs Brewing Co,215 47Th St,Brooklyn,NY,11220,40.671440000000004,-73.93352
Farm Brewer,Orange,Long Lot Farm Brewery Llc,Long Lot Farm Brewery ,153 Johnson Rd,Chester,NY,10918,41.38296,-74.25974000000001
Farm Brewer,Queens,Charlie Work Llc,Evil Twin Brewing,1612 1616 George St,Ridgewood,NY,11385,0.0,0.0
Farm Brewer,Albany,Indian Ladder Farmstead Brewery And Cidery Llc,Indian Ladder Farms Cidery & Brewery,342 Altamont Rd,Altamont,NY,12009,42.6537,-73.9759
Farm Brewer,Herkimer,Hillbilly Farm Brewery Llc,Crazy Williez Brewery,546 Silver St,Ilion,NY,13357,42.98516,-75.10718
Farm Brewer,Nassau,Long Beach Brewing Company Inc,Long Beach Brewing Company ,3350A Lawson Blvd,Oceanside,NY,11572,40.62595,-73.65168
Farm Brewer,Onondaga,Anything But Beer Llc,Anything But Beer ,1153 W Fayette St,Syracuse,NY,13204,43.04611,-76.17345
Farm Brewer,Kings,Braven Brewing Company Llc,Braven Brewing Company ,52 Harrison Pl,Brooklyn,NY,11237,40.706340000000004,-73.93136
Farm Brewer,Sullivan,Shrewd Fox Brewery Llc,Shrewd Fox Brewery ,552 Rte 55,Eldred,NY,12732,41.52563,-74.88450999999999
Farm Brewer,Albany,Table 41 Brewing Company Llc,Table 41 Brewing Company,4 Dunsbach Ferry Rd,Cohoes,NY,12047,42.772529999999996,-73.75437
Farm Brewer,Otsego,Red Shed Brewery Llc,Red Shed Brewery ,817 Butter Bowl Rd,Cherry Valley,NY,13320,42.75712,-74.80834
Farm Brewer,Dutchess,Brooklyn Fermentery Llc,Svendale Brewing Co,127 Cooper Rd,Millerton,NY,12546,41.90612,-73.54989
Farm Brewer,Dutchess,Obercreek Brewing Company Llc,Obercreek Brewing Company ,59 Marlorville Rd,Wappingers Falls,NY,12590,41.587509999999995,-73.93263
Farm Brewer,Monroe,Bullies Entertainment Group Llc,Brindle Haus Brewing Company,377 S Union St,Spencerport,NY,14559,43.185359999999996,-77.80483000000001
Farm Brewer,Suffolk,Blind Bat Brewery Llc,Blind Bat Brewery ,420 Harrison Dr,Centerport,NY,11721,40.89591,-73.38113
Farm Brewer,Bronx,Torch & Crown 704 Broadway Llc,Torch & Crown 704 Broadway ,463 E 173Rd St,Bronx,NY,10457,40.8418,-73.90156
Farm Brewer,Washington,R S Taylor & Sons Brewery Llc,R S Taylor & Sons Brewery ,3602 County Rte 30,Salem,NY,12865,43.2557,-73.37586
Farm Brewer,Rockland,Spectacle Brewing Llc,Industrial Arts Brewing Co,55 W Railroad Ave,Garnerville,NY,10923,41.208,-73.99166
Farm Brewer,Ontario,Dcl Beverage Llc,Webe Brewing Company,796 Pre Emption Rd,Geneva,NY,14456,42.86295,-77.01104000000001
Farm Brewer,Franklin,Township 7 Brewery Llc,Township 7 Brewing Co,303 State Rte 11B,Dickinson Center,NY,12930,44.73921,-74.58587
Farm Brewer,Nassau,Noble Savage Brewing Company Llc,Noble Savage Brewing Company ,27 Glen St,Glen Cove,NY,11542,40.86412,-73.63036
Farm Brewer,Onondaga,Full Boar Craft Brewery Llc,Full Boar Craft Brewery ,628 S Main St Unit 10,North Syracuse,NY,13212,43.12489,-76.13945
Farm Brewer,Kings,Daleview Llc,Daleview Brewery,1170 Nostrand Ave,Brooklyn,NY,11225,40.65893,-73.95064
Farm Brewer,Nassau,South Shore Craft Brewery Corp,South Shore Craft Brewery Corp,3505 Hampton Rd,Oceanside,NY,11572,0.0,0.0
Farm Brewer,Steuben,Keg And Barrel Brewing Company Inc,Keg And Barrel Brewing Company,14720 State Rte 54,Dundee,NY,14837,42.492059999999995,-77.11955
Farm Brewer,Monroe,K2 Brewing Inc,K2 Bros Brewing,1221 Empire Blvd,Rochester,NY,14609,43.17458,-77.52149
Farm Brewer,Onondaga,"Buried Acorn Brewing Co Llc, The",The Buried Acorn Brewing Co,881 Van Rensselaer St,Syracuse,NY,13204,43.06327,-76.17362
Farm Brewer,Wyoming,Windy Brew Llc,Windy Brew ,733 Rte 20A,Strykersville,NY,14145,42.77013,-78.43518
Farm Brewer,Madison,Erie Canal Brewing Company Llc,Erie Canal Brewing Company ,135 James St,Canastota,NY,13032,43.07639453,-75.75312972
Farm Brewer,Rensselaer,Browns Brewing Company Llc,Browns Brewing Company ,50 Factory Hill Rd,Hoosick Falls,NY,12090,42.9262765,-73.34406291
Farm Brewer,Niagara,Vizcarra Family Vineyards Llc,Becker Brewing Co,3724 Quaker Rd,Gasport,NY,14067,43.22487,-78.55832
Farm Brewer,Steuben,Tripend Brewing Llc,Tripend Brewing ,3072 Prutsman Rd,Troupsburg,NY,14885,42.09104,-77.55152
Farm Brewer,Columbia,Chatham Brewing Llc,Chatham Brewing ,59 Main St,Chatham,NY,12037,42.36326985,-73.59542927
Farm Brewer,Schoharie,Green Wolf Brewing Company Llc,Green Wolf Brewing Company ,315 Main St,Middleburgh,NY,12122,42.59833225,-74.33476052
Farm Brewer,Ulster,Rb Brew Llc,Rb Brew ,317 Springtown Rd,New Paltz,NY,12561,41.78947583,-74.08722990000001
Farm Brewer,Sullivan,"Roscoe Ny Beer Company Llc, The",Roscoe Beer Company,145 Rockland Rd,Roscoe,NY,12776,41.94588815,-74.91261723
Farm Brewer,Monroe,Three Heads Brewing Inc,Three Heads Brewing,186 Atlantic Ave,Rochester,NY,14607,43.15676,-77.57967
Farm Brewer,Greene,Honey Hollow Brewing Inc,Honey Hollow Brewery,376 E Honey Hollow Rd,Earlton,NY,12058,42.40255991,-73.92527999
Farm Brewer,Otsego,Robert Rogers,Willow Creek,319 Bliss Gulf Rd,Milford,NY,13820,,
Farm Brewer,Ulster,Gardiner Brewing Company Llc,Gardiner Brewing Company ,699 Rte 208,Gardiner,NY,12525,41.66753,-74.13738000000001
Farm Brewer,Cortland,Cortland Beer Company Llc,Cortland Beer Company,16 Court St,Cortland,NY,13045,42.59931805,-76.17995693
Farm Brewer,Warren,Mean Max Brew Works Llc,Mean Max Brew Works,193 Glen St,Glens Falls,NY,12801,43.310140000000004,-73.64448
Farm Brewer,Essex,Paradox Brewery Llc,Paradox Brewery ,154 State Rte 9,Schroon Lake,NY,12870,43.7811,-73.79368000000001
Farm Brewer,Orange,Heirloom Farms Llc,Westtown Brew Works,236 Schefflers Rd,Westtown,NY,10998,41.31371,-74.53493
Farm Brewer,Columbia,Hudson Valley Beverage Co Inc,Sloop Brewing Co,1065 County Rte 19,Elizaville,NY,12523,0.0,0.0
Farm Brewer,Genesee,Rogers Brewing Llc,Rogers' Beer,5 13 Main St,Le Roy,NY,14482,0.0,0.0
Farm Brewer,Franklin,Raquette River Brewing Llc,Raquette River Brewing,11 Balsam St,Tupper Lake,NY,12986,44.24317,-74.48683
Farm Brewer,Schoharie,Serious Brewing Co Llc,Serious Brewing Co,116 Caverns Rd,Howes Cave,NY,12092,42.68352,-74.39456
Farm Brewer,Chenango,Bullthistle Brewing Company Llc,Bullthistle Brewing Company,45 S Main St,Sherburne,NY,13460,42.67216,-75.49599
Farm Brewer,Orange,Orange County Hops Llc,The Brewery At Orange County Hops,771 Rte 52,Walden,NY,12586,41.55515,-74.14721
Farm Brewer,Dutchess,From The Ground Brewery Llc,From The Ground Brewery ,245 Guski Rd,Red Hook,NY,12571,42.0463,-73.88421
Farm Brewer,Rensselaer,Bly Hollow Brewery Llc,The Beer Diviner,243 Bly Hollow Rd,Cherry Plain,NY,12040,42.63327117,-73.38064307
Farm Brewer,Jefferson,"Cape Vincent Brewing Co Inc, The","Cape Vincent Brewing Co , The",296 E Broadway,Cape Vincent,NY,13618,44.12812,-76.33471
Farm Brewer,Essex,Ausable Brewing Company Llc,Ausable Brewing Company,765 Mace Chasm Rd,Keeseville,NY,12944,44.5027,-73.4541
Farm Brewer,Chautauqua,Robert Mazza Inc,Five & 20 Brewing,8398 W Rte 20,Westfield,NY,14787,42.308279999999996,-79.60394000000001
Farm Brewer,Madison,Larry F Fisher And Kathlyn W Fisher,Foothill Hops,5024 Bear Path Rd,Munnsville,NY,13409,42.96581,-75.58633
Farm Brewer,Wyoming,Amber Lantern Llc,Amber Lantern Brewing Company,44 N Main St,Warsaw,NY,14569,42.7409,-78.13249
Farm Brewer,Monroe,Ctb Group Inc,Wood Kettle Brewing,1192 Manitou Rd,Hilton,NY,14468,43.25444,-77.75026
Farm Brewer,Ulster,Woodstock Local Brewing Llc,Woodstock Brewing,5581 Rte 28,Phoenicia,NY,12464,42.06265,-74.30735
Farm Brewer,Steuben,"Rising Sons 6 Brewing Company Inc, The",Iron Flamingo Brewery,196 Baker St,Corning,NY,14830,42.155120000000004,-77.05637
Farm Brewer,Yates,Seneca Lake Brewing Company Llc,Seneca Lake Brewing Company ,4520 State Rte 14,Rock Stream,NY,14878,42.45345,-76.91001
Farm Brewer,Monroe,Swiftwater Brewing Company Llc,Swiftwater Brewing Company ,378 Mt Hope Ave,Rochester,NY,14620,43.1424,-77.61186
Farm Brewer,Livingston,No Bs Brew Company Llc,No Bs Brew Company ,3474 Bronson Hill Rd,Livonia,NY,14487,42.83377,-77.69192
Farm Brewer,Chemung,Brabant Brewery Llc,Brabant Brewery ,1543 Maple Ave,Elmira,NY,14904,42.06108,-76.78408
Farm Brewer,Ontario,F L X Table Llc,Flx Table/Feast & Co Catering/Flx Fry Bird,16-22 Linden St,Geneva,NY,14456,0.0,0.0
Farm Brewer,Erie,East Aurora Distillery And Winery Llc,East Aurora Brewery,667 Oakwood Ave,East Aurora,NY,14052,42.76528,-78.61004
Farm Brewer,Ulster,Arrowood Farms Llc,Arrowood Farms ,236 Lower Whitfield Rd,Accord,NY,12404,41.80642,-74.24911999999999
Farm Brewer,Schuyler,Lucky Hare Brewing Company Inc,Lucky Hare Brewing Company ,6085 Beckhorn Rd,Hector,NY,14841,42.52835,-76.87496
Farm Brewer,Monroe,Knucklehead Craft Brewing Llc,Knucklehead Craft Brewing,426 Ridge Rd,Webster,NY,14580,43.20598,-77.51213
Farm Brewer,Broome,Beer Tree Brew Co Llc,Beer Tree Brew Co,197 State Rte 369,Port Crane,NY,13833,42.17151,-75.83039000000001
Farm Brewer,Greene,Thomas W Vance,Hop Barn Brewing,94 Maple Ave,Greenville,NY,12083,42.42026,-74.05452
Farm Brewer,Fulton,Stump City Brewing Llc,Stump City Brewing,521 W Fulton St Ext,Gloversville,NY,12078,0.0,0.0
Farm Brewer,Monroe,Griffs Brewery Llc,Griffs Brewery,5324 W Ridge Rd,Spencerport,NY,14559,43.22076,-77.82070999999999
Farm Brewer,Rensselaer,Rare Form Brewing Company Llc,Rare Form Brewing Company ,90 Congress St,Troy,NY,12180,42.72868788,-73.68992903
Farm Brewer,Essex,Ledge Hill Farm Brewery Llc,Ledge Hill Brewing Company,6700 Main St,Westport,NY,12993,44.18835,-73.45085999999999
Farm Brewer,Madison,Morrisville Aux Of State Univ College Of Agri/Tech,@ Morrisville Ny /The Copper Turret,15 W Main St,Morrisville,NY,13408,0.0,0.0
Farm Brewer,Orange,Equilibrium Brewery Llc,Equilibrium Brewery ,22 Henry St,Middletown,NY,10940,41.44623,-74.42222
Farm Brewer,Oneida,Woodland Hop Farm And Fermentation Llc,Woodland Hop Farm And Fermentation ,6002 Trenton Rd,Utica,NY,13502,43.1512,-75.21208
Farm Brewer,Ulster,Weed Farms Inc,Weed Orchards Brewing Company,43 Mount Zion Rd,Marlboro,NY,12542,41.62363,-74.00094
Farm Brewer,Yates,Vineyard View Winery Llc,Vineyard View Winery ,2971 Williams Hill Rd,Keuka Park,NY,14478,42.62358,-77.10254
Farm Brewer,Ontario,Peacemaker Brewing Company Llc,Peacemaker Brewing Company ,20 Pleasant St,Canandaigua,NY,14424,42.88835,-77.2788
Farm Brewer,Erie,Wny Beer Club Llc,Rusty Nickel Brewing Co,4350 Seneca St,W Seneca,NY,14224,42.83248,-78.74181
Farm Brewer,Seneca,Bottomless Brewing Llc,Bottomless Brewing ,3543 E Lake Rd,Geneva,NY,14456,42.85389,-76.93345
Farm Brewer,Seneca,Lost Kingdom Brewery Inc,Lost Kingdom Brewery,7160 Main St,Ovid,NY,14521,42.677609999999994,-76.82307
Farm Brewer,Ontario,Brewery Services Inc,Twin Elder Brewery,160 School St,Victor,NY,14564,42.98038,-77.41743000000001
Farm Brewer,Chautauqua,Stephen R Stanford,Bemus Brew House,5186 Ellery Centralia Rd,Dewittville,NY,14728,42.22102,-79.35905
Farm Brewer,Seneca,Bandwagon Brewery Llc,Bandwagon Brewery,3582 West Ave,Interlaken,NY,14847,42.61638,-76.72875
Farm Brewer,Ontario,Other Half Brewing Company Inc,Other Half Brewing Company ,6621 State Rte 5 & 20,East Bloomfield,NY,14469,0.0,0.0
Farm Brewer,Saratoga,Quinn Borchardt Brewing Llc,Artisanal Brew Works,41 Geyser Rd,Saratoga Springs,NY,12866,43.06026,-73.81456
Farm Brewer,Yates,Lyonsmith Brewing Co Llc,Lyonsmith Brewing Co,138 Water St,Penn Yan,NY,14527,42.65943849,-77.05421666
Farm Brewer,Livingston,Dublin Corners Farm Brewery Llc,Dublin Corners Farm Brewery ,1906 Main St,Linwood,NY,14486,42.90296,-77.88078
Farm Brewer,Monroe,"Lost Borough Brewing Llc, The",The Lost Borough Brewing Co,543 Atlantic Ave,Rochester,NY,14609,0.0,0.0
Farm Brewer,Oswego,Tcd Of Oswego Llc,U.S. Brewing Company,17 W Cayuga St,Oswego,NY,13126,0.0,0.0
Farm Brewer,Tompkins,Hopshire Brewery Llc,Hopshire Farm & Brewery,1771 Dryden Rd,Freeville,NY,13068,42.48171378,-76.3692873
Farm Brewer,Columbia,Erik R Bell,Old Klaverack Brewery,150 Thielman Rd,Hudson,NY,12534,42.22227,-73.68377
Farm Brewer,Tioga,"Farmhouse Brewery Llc, The",The Farmhouse Brewery,2 Whig St,Newark Valley,NY,13811,42.22466231,-76.18519921
Farm Brewer,Bronx,Farlo Llc,Gun Hill Brewing Company,3227 Laconia Ave,Bronx,NY,10469,40.87213936,-73.85555125
Farm Brewer,Schuyler,Pantomime Mixtures Llc,Pantomime Mixtures ,3839 Ball Diamond Rd,Hector,NY,14841,42.51357,-76.85665
Farm Brewer,Madison,Empire Farmstead Brewery Inc,Empire Brewing Company,33 Rippleton Rd,Cazenovia,NY,13035,42.92086,-75.86301999999999
Farm Brewer,Seneca,Growlin Beer Corporation,Lake Drum Brewing,16 E Castle St,Geneva,NY,14456,42.86797979,-76.98119853
Farm Brewer,Washington,Argyle Brewing Company Llc,Argyle Brewing Company ,1 Main St,Greenwich,NY,12834,43.08755101,-73.49699557
Farm Brewer,Yates,Abandon Brewing Company Llc,Abandon Brewing Company,2994 Merritt Hill Rd,Penn Yan,NY,14527,42.63080458,-77.10105951
Farm Brewer,Rensselaer,S&S Brewery Inc,S&S Brewery ,274 Middle Rd,Nassau,NY,12123,42.49036434,-73.57288887
Farm Brewer,Suffolk,Greenport Brewing Company Llc The,Greenport Harbor Company,42155 Main Rd,Peconic,NY,11958,41.04171563,-72.4545322
Farm Brewer,Kings,Other Half Brewing Company Inc,Other Half Brewing Company ,195 Centre St,Brooklyn,NY,11231,40.67366514,-73.99909135
Farm Brewer,Steuben,Steuben Brewing Company Llc,Steuben Brewing Company ,10286 Judson Rd,Hammondsport,NY,148409668,42.50379629,-77.18650658
Farm Brewer,Erie,Hamburg Brewing Company Llc,Hamburg Brewing Company,6553 Boston State Rd,Hamburg,NY,14075,42.71061703,-78.80331058
Farm Brewer,Monroe,Fairport Brewing Company Llc,Fairport Brewing Company,1044 University Ave,Rochester,NY,14607,43.15315,-77.57358
"Farm Distiller ""D""",Cattaraugus,Stillhouse Of Buffalo Llc,Steelbound Brewery & Distillery,6600 Rte 219,Ellicottville,NY,14731,42.285959999999996,-78.65914000000001
"Farm Distiller ""D""",Suffolk,Long Island Spirits Inc,Long Island Spirits ,2182 Sound Avenue,Baiting Hollow,NY,11933,40.95570562,-72.75261872
"Farm Distiller ""D""",Kings,Breuckelen Distilling Company Inc,New Orange,75 77 19Th Street Unit A,Brooklyn,NY,11232,40.63143857,-74.03407022
"Farm Distiller ""D""",Kings,New York Distilling Company Llc,New York Distilling,405 Leonard Street,Brooklyn,NY,11222,40.71855442,-73.94851072
"Farm Distiller ""D""",Kings,Kings County Distillery Llc,Kings County Distillery ,63 Flushing Ave,Brooklyn,NY,11205,40.69801436,-73.9750594
"Farm Distiller ""D""",Kings,Green Farms Ii Llc,Greenhook Ginsmiths,208 Dupont St,Brooklyn,NY,11222,40.73619511,-73.95179315
"Farm Distiller ""D""",Bronx,Port Morris Distillery Inc,Port Morris Distillery ,780 E 133Rd St,Bronx,NY,10454,40.80089048,-73.91345256
"Farm Distiller ""D""",Kings,Twenty Spoke Llc,Saint Agrestis,24 15Th St Unit 203,Brooklyn,NY,11215,40.66867499,-73.99571594
"Farm Distiller ""D""",Kings,Doc'S Spirits Llc,Doc Herson'S Natural Spirits,630 Flushing Ave Suite 628,Brooklyn,NY,11206,40.69999322,-73.94828041
"Farm Distiller ""D""",Kings,Van Brunt Stillhouse Llc,Van Brunt Stillhouse,6 Bay St,Brooklyn,NY,11231,40.67378812,-74.01003348
"Farm Distiller ""D""",Suffolk,Wolffer Estate Vineyard Inc,Wolffer Estate,139 Sagg Rd,Sagaponack,NY,11962,40.94499521,-72.27766486
"Farm Distiller ""D""",Suffolk,Sagaponack Farm Distillery Llc,Sagaponack Farm Distillery ,369 Sagg Rd,Sagaponack,NY,11962,40.95106,-72.28128000000001
"Farm Distiller ""D""",Suffolk,Long Island Bootleggers Inc,Twin Stills Moonshine,5506 Sound Ave,Riverhead,NY,11901,40.97905,-72.61513000000001
"Farm Distiller ""D""",Westchester,"Food Cycle Distillery Llc, The",Neversink Spirits,33 New Broad St,Port Chester,NY,10573,41.0003,-73.66561999999999
"Farm Distiller ""D""",Kings,Industry City Distillery Inc,Industry City Distillery ,33 35Th St,Brooklyn,NY,11232,40.59885,-73.99061999999999
"Farm Distiller ""D""",Westchester,Vincent Miata,Good Shepherd Distillery,360 Mt Pleasant Ave,Mamaroneck,NY,10543,40.951370000000004,-73.73702
"Farm Distiller ""D""",Queens,Astoria Distilling Company Llc,Astoria Distilling Company,31-00 47Th Ave,Long Island City,NY,11101,40.74302,-73.93576999999999
"Farm Distiller ""D""",Westchester,Baron Nahmias Inc,Nahmias Et Fils,201 Saw Mill River Rd,Yonkers,NY,10701,40.945190000000004,-73.88011999999999
"Farm Distiller ""D""",Kings,Disruption Grain Llc,Interboro Spirits & Ales,942 Grand St,Brooklyn,NY,11211,40.712720000000004,-73.93697
"Farm Distiller ""D""",Kings,Moto Spirits Llc,Vrw Distillers,5 Central Ave,Brooklyn,NY,11206,40.70263,-73.93290999999999
"Farm Distiller ""D""",Suffolk,North Fork Wines & Vineyards Llc,North Fork Spirits,19110 Soundview Ave,Southold,NY,11971,41.085809999999995,-72.4261
"Farm Distiller ""D""",Kings,Sadden Brothers & Co Distilling Corp,Sadden Brothers & Co Distilling Corp,69 Powell St,Brooklyn,NY,11212,40.6729,-73.90464
"Farm Distiller ""D""",New York,Our/New York Vodka Llc,Our/New York,151 W 26Th St,New York,NY,10001,40.74573,-73.99335
"Farm Distiller ""D""",Suffolk,Matchbook Distilling Company Llc,Matchbook Distilling Co,230 Corwin St,Greenport,NY,11944,41.098279999999995,-72.37007
"Farm Distiller ""D""",Westchester,Stilltheone Distillery Two Llc,Stilltheone Distillery Two; Sto2,1 Martin Pl,Port Chester,NY,10573,40.99765,-73.65984
"Farm Distiller ""D""",New York,Great Jones Distillers Llc,The Great Jones Distillery,686 Broadway,New York,NY,10012,40.728,-73.99441
"Farm Distiller ""D""",Nassau,Old Spirit Distillery Inc,Old Spirit Distillery ,3670 6 W Oceanside Rd,Oceanside,NY,11572,0.0,0.0
"Farm Distiller ""D""",Kings,Widow Jane Distilleries Llc,Widow Jane Distilleries ,216 218 Conover St,Brooklyn,NY,11231,0.0,0.0
"Farm Distiller ""D""",Kings,Mkj Innovations Corp,Mkj Innovations Corp,36 Waverly Ave,Brooklyn,NY,11205,40.69672,-73.96862
"Farm Distiller ""D""",Suffolk,Pour Decisions Llc,Shinn Estate Viineyards,2000 Oregon Rd,Mattituck,NY,11952,41.015370000000004,-72.53201
"Farm Distiller ""D""",Westchester,Heimat New York Llc,Heimat New York ,430 Center Ave,Mamaroneck,NY,10543,40.94985,-73.7438
"Farm Distiller ""D""",Kings,Proof Of Concept Llc,Proof Of Concept ,86 34Th St,Brooklyn,NY,11232,40.7588,-73.92481
"Farm Distiller ""D""",Suffolk,"Better Man Distilling Co Inc, The","Better Man Distilling Co , The",161 River Ave,Patchogue,NY,11772,40.7592,-73.0216
"Farm Distiller ""D""",Kings,Standard Spirit Corporation,Standard Spirit Distillery,630 Flushing Ave,Brooklyn,NY,11206,40.69989,-73.94819
"Farm Distiller ""D""",Westchester,Full Time Hobby Distilling Co Inc,Full Time Hobby Distilling Co ,28 Main St,Ossining,NY,10562,41.15838,-73.86820999999999
"Farm Distiller ""D""",Orange,Warwick Valley Wine Co Inc,Warwick Valley Distillery,114 Little York Rd,Warwick,NY,10990,41.293785799999995,-74.43713832
